"","GSM15785","GSM15786","GSM15787","GSM15788","GSM15789","GSM15790","GSM15791","GSM15792","GSM15794","GSM15795"
"200098_s_at",421.348511826227,-435.909610728172,-438.263266973899,-209.94503637174,-83.3684180214787,-258.556758679027,-78.1392394334646,-195.745674868977,59.6806915848537,-45.1802276149356
"200099_s_at",440.372148211414,-429.941020819557,-402.478814678227,-170.422585447414,-84.7590752797082,-289.827617247809,-183.960228967524,-55.3842915233463,104.248709200537,-2.57050380318808
"200593_s_at",578.006373977869,-581.016034595856,-569.691450765754,-255.281351001883,-113.243778270662,-409.190336042271,-239.994242284248,-34.5880439512315,90.7915684987189,-34.2483477219837
"200594_x_at",209.157348644292,-162.616790676532,-150.077191507909,-135.874820472573,-100.509654071802,23.8316207849785,51.293822668892,-185.936505140111,12.687464135253,-8.35804638666261
"200595_s_at",470.016106942969,-447.812946074066,-435.46759165624,-207.120399049558,-51.3822270228907,-321.58636784429,-172.878420986896,74.5455499179232,96.2081296274336,-20.1425200550781
"200596_s_at",273.806529052776,-265.977178116098,-268.192671863172,-123.044399470497,-89.3313919015088,-139.759314485274,-44.6690375607083,-82.9768814518279,61.8365243400401,-12.2470574442619
"200597_at",345.509071492815,-354.492645322463,-307.157594601824,-170.326602394681,-77.8693289865658,-145.149207480053,-40.8432564438843,-196.448811573542,76.3009011332367,-12.0547447875609
"200598_s_at",133.236262980753,-82.8908907556433,-56.7348423927665,-67.4566528389501,-70.5109516884183,6.66216647473988,-6.41121501558297,-5.52087144109208,46.4190039785661,13.1896347861489
"200599_s_at",383.116881758365,-349.888538589435,-361.25652785064,-195.779218180408,-105.997940740581,-172.443544051299,-43.372998830757,-250.362192717167,39.1523930963737,-19.9267827014141
"200600_at",494.364676582279,-459.56540743735,-422.506271239534,-196.414477962718,-119.937248796439,-273.599309123695,-162.358131432024,-107.128586610226,48.7970554345864,-19.2464803457123
"200601_at",292.871335998932,-265.338694809119,-297.392357591414,-190.589947750339,-126.703563582664,-90.6607447596252,60.5229316561244,-405.160525917115,42.8026980277151,19.6348412418026
"200602_at",362.985490330031,-358.221855271886,-337.633351003879,-147.650342107459,-98.2143401382275,-169.447973522898,-76.3541923622806,-205.862070548656,57.0135970990316,-22.2239832360388
"200603_at",278.694966124432,-259.420806302999,-250.559188225017,-127.524210395297,-82.3466785335678,-184.628615311135,-133.797942853021,84.262102924999,48.9248664091005,-15.9867655010288
"200604_s_at",228.874905872802,-207.316376929339,-217.12710140672,-176.589905619461,-98.6074880121895,-7.61672923008125,109.645867949805,-388.477676917792,57.9197214945494,1.2231008155143
"200605_s_at",262.922402833806,-227.472219851975,-230.005365807883,-152.051207553416,-79.9246232790627,-114.736393539757,-43.438857586839,-89.703369328156,57.6450105194553,11.9454846547626
"200606_at",145.802054157896,-78.0653078994781,-44.7429726046724,-89.3679948093504,-75.2840620005098,59.540065313933,55.6784753742056,-103.250258561486,-4.14146980146765,29.4055982153165
"200607_s_at",318.684305017801,-283.248649438332,-310.397339762049,-194.073578494237,-145.48883052386,-68.5797186717609,127.145117666501,-564.641910553241,72.7332481284495,13.6667830279365
"200608_s_at",384.710822470966,-395.761227667038,-386.66590628553,-180.65128863396,-83.4216746231486,-207.199426495871,-107.510961746086,-95.1974479594691,45.0101541227866,-32.4375057803986
"200609_s_at",431.476175409841,-420.996862904129,-420.467405769001,-188.178018585594,-73.0739210452233,-212.122074276078,-107.961393384894,-83.9263985120645,90.1146312225562,-29.0692572343819
"200610_s_at",388.905294069266,-318.898853890881,-370.214065180634,-202.002761243695,-136.600684738447,-160.483298674281,28.8919774050992,-329.636069324546,60.6964362583525,-6.23380256921613
"200611_s_at",464.064174858533,-396.930448331927,-353.052692330026,-150.369977600225,-94.4521878276651,-278.608721450453,-220.712100814614,147.663959189184,75.2764173118629,-11.0373083670698
"200612_s_at",274.941921712943,-255.528847174793,-231.974145890359,-115.012654585207,-83.5394484443709,-151.24040895774,-74.2165244910218,12.4117429816129,53.8796947961875,3.70484498477442
